Inverter Size,Chain Length,Energy per Capacitance (J/F),Time per Capacitance (S/mF),Step Size (pF)
1,8,16.66666667,41.32266667,0.129310345
1,12,13.624,37.03466667,0.178571429
1,16,11.52,32.13866667,0.220588235
2,8,12.56533333,22.864,0.208333333
2,12,10.78133333,20.24,0.267857143
2,16,9.601333333,18.63466667,0.340909091
4,8,10.10853333,13.60666667,0.357142857
4,12,8.615333333,11.332,0.483870968
4,16,7.88,9.904,0.652173913
8,8,8.176333333,7.818666667,0.526315789
8,12,7.161,5.82,1.034482759
8,16,6.803333333,5.146333333,1.428571429
16,8,7.607,4.840333333,1
16,12,6.7325,3.7165,1.764705882
16,16,6.160333333,2.795666667,2.5
